id,symbol,name,current_price,price_change_percentage_24h,type
siren-2,siren,Siren,0.398663,51.61546,gainer
four,form,Four,0.288756,33.71891,gainer
robo-token-2,robo,Fabric Protocol,0.04992359,26.53443,gainer
cheems-token,cheems,Cheems Token,5.44664e-07,24.16352,gainer
ribbita-by-virtuals,tibbir,Ribbita by Virtuals,0.184202,20.49164,gainer
plasma,xpl,Plasma,0.111544,15.99855,gainer
near,near,NEAR Protocol,1.34,12.89971,gainer
lombard-protocol,bard,Lombard,1.12,12.70368,gainer
morpho,morpho,Morpho,1.96,12.24697,gainer
power-protocol,power,Power Protocol,1.94,11.08351,gainer
kite-2,kite,Kite,0.198278,-17.04382,loser
hash-2,hash,Provenance Blockchain,0.01562409,-6.42293,loser
memecore,m,MemeCore,1.44,-5.64917,loser
polygon-ecosystem-token,pol,POL (ex-MATIC),0.099428,-5.48235,loser
falcon-finance-ff,ff,Falcon Finance,0.074718,-4.80102,loser
xdce-crowd-sale,xdc,XDC Network,0.03257882,-3.79494,loser
stable-2,stable,​​Stable,0.03095738,-3.72524,loser
a7a5,a7a5,A7A5,0.01251795,-2.62395,loser
lighter,lit,Lighter,1.35,-2.5344,loser
monero,xmr,Monero,337.03,-2.46704,loser
